group	auc
trad_species_fdr	0.762420957542909
trad_species_fdr	0.755194218608853
trad_species_fdr	0.768857271906052
trad_species_fdr	0.681458897922313
trad_species_fdr	0.71996386630533
trad_species_fdr	0.699074074074074
trad_species_fdr	0.720754290876242
trad_species_fdr	0.700542005420054
trad_species_fdr	0.661359530261969
trad_species_fdr	0.640808491418247
trad_species_fdr	0.751580849141825
trad_species_fdr	0.69579945799458
trad_species_fdr	0.735207768744354
trad_species_fdr	0.774841915085818
trad_species_fdr	0.738595302619693
trad_species_fdr	0.732836495031617
trad_species_fdr	0.676038843721771
trad_species_fdr	0.737691960252936
trad_species_fdr	0.727077687443541
trad_species_fdr	0.699864498644986
trad_species_fdr	0.661472448057814
trad_species_fdr	0.78613369467028
trad_species_fdr	0.760614272809395
trad_species_fdr	0.757904245709124
trad_species_fdr	0.75462962962963
trad_species_fdr	0.817186088527552
trad_species_fdr	0.643179765130985
trad_species_fdr	0.732723577235772
trad_species_fdr	0.726964769647697
trad_species_fdr	0.7153342366757
trad_species_fdr	0.74683830171635
trad_species_fdr	0.752710027100271
trad_species_fdr	0.760162601626016
trad_species_fdr	0.772583559168925
trad_species_fdr	0.77563233965673
trad_species_fdr	0.780374887082204
trad_species_fdr	0.722786811201445
trad_species_fdr	0.720867208672087
trad_species_fdr	0.816282746160795
lipid_fdr	0.758053382420617
lipid_fdr	0.74033594109526
lipid_fdr	0.825816843074091
lipid_fdr	0.825586746433502
lipid_fdr	0.85757017947538
lipid_fdr	0.73550391164289
lipid_fdr	0.846985734008283
lipid_fdr	0.830763920846756
lipid_fdr	0.77772664519098
lipid_fdr	0.728025770823746
lipid_fdr	0.797399907961344
lipid_fdr	0.786585365853659
lipid_fdr	0.78255867464335
lipid_fdr	0.847560975609756
lipid_fdr	0.801771744132536
lipid_fdr	0.726300046019328
lipid_fdr	0.832949838932352
lipid_fdr	0.845029912563277
lipid_fdr	0.719167050161068
lipid_fdr	0.783709157846295
lipid_fdr	0.787850897376898
lipid_fdr	0.771168890934192
lipid_fdr	0.852623101702715
lipid_fdr	0.807179015186378
lipid_fdr	0.797860101242522
lipid_fdr	0.785434882650713
lipid_fdr	0.81028531983433
lipid_fdr	0.820294523699954
lipid_fdr	0.822825586746433
lipid_fdr	0.759318913943856
lipid_fdr	0.812471237919926
lipid_fdr	0.736309249884952
lipid_fdr	0.81534744592729
lipid_fdr	0.822595490105844
lipid_fdr	0.769558214450069
lipid_fdr	0.767372296364473
lipid_fdr	0.808559595029913
lipid_fdr	0.801541647491947
lipid_fdr	0.791992636907501
lipid_fdr	0.751725724804418
lipid_fdr	0.845260009203866
lipid_fdr	0.801196502531063
lipid_fdr	0.774045098941555
lipid_fdr	0.805223193741371
lipid_fdr	0.794063506672803
lipid_fdr	0.817878508973769
lipid_fdr	0.770708697653014
lipid_fdr	0.838011965025311
lipid_fdr	0.723193741371376
lipid_fdr	0.822250345144961
lipid_fdr	0.830994017487345
lipid_fdr	0.780947998159227
lipid_fdr	0.758743672342384
lipid_fdr	0.820524620340543
lipid_fdr	0.778186838472158
lipid_fdr	0.770018407731247
lipid_fdr	0.763690750115048
lipid_fdr	0.854924068108606
lipid_fdr	0.797745052922227
lipid_fdr	0.77669121030833
lipid_fdr	0.808559595029913
lipid_fdr	0.848251265531523
lipid_fdr	0.846410492406811
lipid_fdr	0.783133916244823
lipid_fdr	0.762080073630925
lipid_fdr	0.882190520018408
lipid_fdr	0.852623101702715
