group	score
Microbial Risk Score	0.547406449798521
Microbial Risk Score	-0.44758504105619
Microbial Risk Score	-0.495467052121708
Microbial Risk Score	0.232734289248427
Microbial Risk Score	0.16631555315663
Microbial Risk Score	1.26066589435445
Microbial Risk Score	-0.972009337898545
Microbial Risk Score	1.38544825458902
Microbial Risk Score	0.0427738705353651
Microbial Risk Score	-1.3704601898985
Microbial Risk Score	0.686924951601219
Microbial Risk Score	-1.04881955183999
Microbial Risk Score	1.5256666871616
Microbial Risk Score	-1.02416468674151
Microbial Risk Score	1.7757933322085
Microbial Risk Score	0.761327782011189
Microbial Risk Score	-1.38449861189918
Microbial Risk Score	0.0142415764938417
Microbial Risk Score	0.465439059032126
Microbial Risk Score	0.167972205125877
Microbial Risk Score	-1.46473460580604
Microbial Risk Score	-0.746081816805513
Microbial Risk Score	-1.43751274378752
Microbial Risk Score	-2.18847841717466
Microbial Risk Score	-2.46726950705921
Microbial Risk Score	-1.31832761628545
Microbial Risk Score	0.219005442082589
Microbial Risk Score	0.00627964412527701
Microbial Risk Score	1.30959481764492
Microbial Risk Score	0.584032433173525
Microbial Risk Score	-1.10788821222565
Microbial Risk Score	-1.38469967300949
Microbial Risk Score	0.401239344728603
Microbial Risk Score	-0.359026787484347
Microbial Risk Score	0.198867991786076
Microbial Risk Score	1.83120129414063
Microbial Risk Score	-0.601935474885606
Microbial Risk Score	1.41117205252158
Microbial Risk Score	-0.923029267733739
Microbial Risk Score	-0.893199660611724
Microbial Risk Score	-0.721501962736526
Microbial Risk Score	-1.31753587782729
Microbial Risk Score	0.886703959269386
Microbial Risk Score	1.23943670919159
Microbial Risk Score	1.82922327468828
Microbial Risk Score	1.67516597620866
Microbial Risk Score	-1.1380768121358
Microbial Risk Score	-0.817136280777898
Microbial Risk Score	1.36710618513358
Microbial Risk Score	-0.572402856036591
Microbial Risk Score	0.45110963099052
Microbial Risk Score	-0.646614280657886
Microbial Risk Score	0.812384199173114
Microbial Risk Score	0.982806941602124
Microbial Risk Score	0.679396615998623
Microbial Risk Score	-1.09816938320012
Microbial Risk Score	1.81115987656113
Microbial Risk Score	-1.33970017088374
Microbial Risk Score	1.52047509679007
Microbial Risk Score	0.433687277208578
Microbial Risk Score	-0.295121851822172
Microbial Risk Score	-0.281591971704945
Microbial Risk Score	0.163265074636992
Microbial Risk Score	0.886367741742527
Microbial Risk Score	-0.688596426843767
Microbial Risk Score	0.153683773987343
Microbial Risk Score	1.40256331080968
Microbial Risk Score	-1.07154169525472
Microbial Risk Score	0.782677077046949
Microbial Risk Score	1.99668460257497
Microbial Risk Score	0.140063192029074
Microbial Risk Score	0.274881944319595
Microbial Risk Score	0.929105740075166
Microbial Risk Score	-0.983017850630688
Microbial Risk Score	0.229701564909004
Microbial Risk Score	-1.07786329468808
Microbial Risk Score	-1.99279435785097
Microbial Risk Score	0.412217963271563
Microbial Risk Score	-0.0135720892713583
Microbial Risk Score	-0.096038927269532
Microbial Risk Score	0.37412842011668
Microbial Risk Score	0.369019844353303
Microbial Risk Score	-0.852521725584998
Microbial Risk Score	-0.756232401917045
Microbial Risk Score	-1.9359800301694
Microbial Risk Score	0.594508953942544
Microbial Risk Score	0.334333344462845
Microbial Risk Score	0.294036568904122
Microbial Risk Score	-0.0347508899106997
Microbial Risk Score	-1.68930994651651
Microbial Risk Score	1.31818186409164
Microbial Risk Score	-0.866969783361837
Microbial Risk Score	-1.63098778605844
Microbial Risk Score	-0.828803730249799
Microbial Risk Score	-0.795212928788301
Microbial Risk Score	-0.838893349364716
Microbial Risk Score	0.213448405769667
Microbial Risk Score	-0.83429119681689
Microbial Risk Score	-0.743544432164143
Microbial Risk Score	-1.87631110605115
Microbial Risk Score	-0.425996900389674
Microbial Risk Score	-0.236872273030218
Microbial Risk Score	0.239622607873223
Microbial Risk Score	0.73062676146899
Microbial Risk Score	-0.33499831903059
Microbial Risk Score	-1.20325037965768
Microbial Risk Score	-0.0964655875106957
Microbial Risk Score	-0.97188017547412
Microbial Risk Score	0.129500005111787
Microbial Risk Score	1.54674159698957
Microbial Risk Score	0.244023340106505
Microbial Risk Score	-0.180222173859745
Microbial Risk Score	0.00078386447505194
Microbial Risk Score	1.83722383302834
Microbial Risk Score	0.960927203542621
Microbial Risk Score	1.08743954434686
Microbial Risk Score	0.199077082139001
Microbial Risk Score	-1.04005861898773
Microbial Risk Score	0.0597882396641564
Microbial Risk Score	0.86793167008046
Microbial Risk Score	1.31321994664601
Microbial Risk Score	0.950785918516748
Microbial Risk Score	1.49614642295314
Microbial Risk Score	0.330232612925711
Microbial Risk Score	-1.08480181940791
Microbial Risk Score	0.541884425303291
Microbial Risk Score	1.20726775646124
Microbial Risk Score	-0.0785256841367463
Microbial Risk Score	1.31282004662558
Microbial Risk Score	0.48983853009311
Microbial Risk Score	0.173245924969569
Microbial Risk Score	-1.28036270238098
Microbial Risk Score	0.246903871746698
Microbial Risk Score	-1.32167140367161
Microbial Risk Score	1.87018147756607
Microbial Risk Score	-1.63184306100175
Microbial Risk Score	1.1713200062421
Microbial Risk Score	-0.751492257498855
Microbial Risk Score	3.08791326502582
Microbial Risk Score	-1.23123805933607
Microbial Risk Score	0.223171113723671
Microbial Risk Score	-0.0322926205391614
Microbial Risk Score	0.522383895499334
Microbial Risk Score	0.236534473081313
Microbial Risk Score	-0.467684105908117
Microbial Risk Score	1.16670434149355
Microbial Risk Score	2.03126703883816
Microbial Risk Score	-0.37894312776538
Microbial Risk Score	1.91435175394945
Microbial Risk Score	1.28116745418415
Microbial Risk Score	-2.0919778582548
Microbial Risk Score	-0.000870210516082827
Microbial Risk Score	-0.378416005092079
Microbial Risk Score	-0.371535946647409
Microbial Risk Score	-0.330319463311503
Microbial Risk Score	1.12155180503763
Microbial Risk Score	0.149562999999212
Microbial Risk Score	1.69147052004853
Microbial Risk Score	0.900907671993832
Microbial Risk Score	-0.390172246475078
Microbial Risk Score	-0.697901225851855
Microbial Risk Score	0.335222418907773
Microbial Risk Score	0.115374198187238
Microbial Risk Score	0.832230645346279
Microbial Risk Score	1.57998473145611
Microbial Risk Score	-1.81687231405484
Microbial Risk Score	2.38632702374444
Microbial Risk Score	0.571255156448559
Microbial Risk Score	-1.2628764102628
Microbial Risk Score	1.72946981370328
Microbial Risk Score	-1.35791051083514
Microbial Risk Score	-1.06772872142608
Microbial Risk Score	1.41442838497514
Microbial Risk Score	2.24066386475835
Microbial Risk Score	-0.154730658057652
Microbial Risk Score	0.115416227793549
Microbial Risk Score	-1.55081045435297
Microbial Risk Score	-0.316853086552967
Microbial Risk Score	-0.429000948805004
Microbial Risk Score	-0.677244144336723
Microbial Risk Score	-1.02161799682915
