id	GDM	ec	abundance	jitter_group	jitter_position
SL_2_48	Control	1.3.1.9	0.000553757	1	-0.19
SL_2_49	Control	1.3.1.9	0.000189269	1	-0.19
SL_2_50	GDM	1.3.1.9	0.00048102	1	0.19
SL_2_51	Control	1.3.1.9	0.000855313	1	-0.19
SL_2_53	GDM	1.3.1.9	0.000954636	1	0.19
SL_2_54	Control	1.3.1.9	0.000117211	1	-0.19
SL_2_55	GDM	1.3.1.9	0.00147593	1	0.19
SL_2_56	Control	1.3.1.9	0.000252068	1	-0.19
SL_2_57	GDM	1.3.1.9	0.000650525	1	0.19
SL_2_59	Control	1.3.1.9	0.0012467	1	-0.19
SL_2_61	Control	1.3.1.9	0.000233091	1	-0.19
SL_2_63	GDM	1.3.1.9	5.08642e-05	1	0.19
SL_2_64	GDM	1.3.1.9	0.000921625	1	0.19
SL_2_66	Control	1.3.1.9	0.000702832	1	-0.19
SL_2_68	GDM	1.3.1.9	0.000463081	1	0.19
SL_2_69	Control	1.3.1.9	0.00109157	1	-0.19
SL_2_70	Control	1.3.1.9	0.000791426	1	-0.19
SL_2_71	GDM	1.3.1.9	0.000812374	1	0.19
SL_2_72	Control	1.3.1.9	0.000386055	1	-0.19
SL_2_73	GDM	1.3.1.9	0.000386218	1	0.19
SL_2_74	GDM	1.3.1.9	0.000392895	1	0.19
SL_2_75	Control	1.3.1.9	0.00107771	1	-0.19
SL_2_76	Control	1.3.1.9	0.000645712	1	-0.19
SL_2_79	Control	1.3.1.9	0.00129079	1	-0.19
SL_2_80	Control	1.3.1.9	0.000589308	1	-0.19
SL_2_82	Control	1.3.1.9	0.000753241	1	-0.19
SL_2_83	GDM	1.3.1.9	0.000506151	1	0.19
SL_2_84	GDM	1.3.1.9	0.000697616	1	0.19
SL_2_85	Control	1.3.1.9	0.00069023	1	-0.19
SL_2_86	Control	1.3.1.9	0.000563791	1	-0.19
SL_2_87	Control	1.3.1.9	0.00273455	1	-0.19
SL_2_90	Control	1.3.1.9	7.197e-05	1	-0.19
SL_2_91	Control	1.3.1.9	0.000849934	1	-0.19
SL_2_95	Control	1.3.1.9	0.000777421	1	-0.19
SL_2_96	Control	1.3.1.9	0.000603533	1	-0.19
SL_2_98	Control	1.3.1.9	0.000345626	1	-0.19
SL_3_01	GDM	1.3.1.9	0.00051571	1	0.19
SL_3_02	Control	1.3.1.9	0.000727566	1	-0.19
SL_3_03	GDM	1.3.1.9	0.00110268	1	0.19
SL_3_04	GDM	1.3.1.9	0.00067488	1	0.19
SL_3_05	Control	1.3.1.9	0.000592997	1	-0.19
SL_3_06	Control	1.3.1.9	0.000664246	1	-0.19
SL_3_07	GDM	1.3.1.9	0.00124609	1	0.19
SL_3_08	Control	1.3.1.9	0.000423477	1	-0.19
SL_3_10	Control	1.3.1.9	0.00113436	1	-0.19
SL_3_100	Control	1.3.1.9	0.00062553	1	-0.19
SL_3_13	Control	1.3.1.9	0.00103333	1	-0.19
SL_3_14	GDM	1.3.1.9	0.00118441	1	0.19
SL_3_15	Control	1.3.1.9	0.000501461	1	-0.19
SL_3_16	Control	1.3.1.9	0.000328197	1	-0.19
SL_3_17	Control	1.3.1.9	0.000672345	1	-0.19
SL_3_18	GDM	1.3.1.9	0.000164549	1	0.19
SL_3_19	Control	1.3.1.9	0.00102082	1	-0.19
SL_3_20	GDM	1.3.1.9	0.000670469	1	0.19
SL_3_21	Control	1.3.1.9	0.000749963	1	-0.19
SL_3_22	Control	1.3.1.9	0.00104934	1	-0.19
SL_3_23	Control	1.3.1.9	0.000183912	1	-0.19
SL_3_25	GDM	1.3.1.9	0.000372136	1	0.19
SL_3_27	Control	1.3.1.9	0.000863868	1	-0.19
SL_3_28	Control	1.3.1.9	0.000286793	1	-0.19
SL_3_29	GDM	1.3.1.9	0.00222205	1	0.19
SL_3_30	Control	1.3.1.9	0.000362226	1	-0.19
SL_3_31	GDM	1.3.1.9	0.000130657	1	0.19
SL_3_34	Control	1.3.1.9	0.000714684	1	-0.19
SL_3_36	Control	1.3.1.9	0.000219321	1	-0.19
SL_3_37	Control	1.3.1.9	0.000421421	1	-0.19
SL_3_38	GDM	1.3.1.9	0.000518862	1	0.19
SL_3_40	Control	1.3.1.9	0.000254219	1	-0.19
SL_3_41	GDM	1.3.1.9	0.000336982	1	0.19
SL_3_42	Control	1.3.1.9	0.00051475	1	-0.19
SL_3_43	GDM	1.3.1.9	0.000234784	1	0.19
SL_3_44	Control	1.3.1.9	0.00113565	1	-0.19
SL_3_45	GDM	1.3.1.9	0.000773277	1	0.19
SL_3_46	Control	1.3.1.9	0.000521902	1	-0.19
SL_3_47	Control	1.3.1.9	0.000579175	1	-0.19
SL_3_48	GDM	1.3.1.9	0.00082181	1	0.19
SL_3_49	Control	1.3.1.9	0.000773515	1	-0.19
SL_3_50	GDM	1.3.1.9	0.00115654	1	0.19
SL_3_51	GDM	1.3.1.9	0.000919099	1	0.19
SL_3_52	Control	1.3.1.9	0.000922249	1	-0.19
SL_3_54	Control	1.3.1.9	0.000979035	1	-0.19
SL_3_56	Control	1.3.1.9	0.000674016	1	-0.19
SL_3_57	GDM	1.3.1.9	0.000729068	1	0.19
SL_3_58	Control	1.3.1.9	0.00126438	1	-0.19
SL_3_59	GDM	1.3.1.9	0.00102335	1	0.19
SL_3_60	Control	1.3.1.9	0.00039271	1	-0.19
SL_3_61	Control	1.3.1.9	0.000605059	1	-0.19
SL_3_63	Control	1.3.1.9	0.000464058	1	-0.19
SL_3_64	Control	1.3.1.9	0.00127894	1	-0.19
SL_3_65	Control	1.3.1.9	0.000634934	1	-0.19
SL_3_66	GDM	1.3.1.9	0.00142283	1	0.19
SL_3_67	GDM	1.3.1.9	0.000622059	1	0.19
SL_3_68	Control	1.3.1.9	0.000324337	1	-0.19
SL_3_69	Control	1.3.1.9	0.00040017	1	-0.19
SL_3_70	GDM	1.3.1.9	0.000286703	1	0.19
SL_3_71	Control	1.3.1.9	0.000900894	1	-0.19
SL_3_72	Control	1.3.1.9	0.000100362	1	-0.19
SL_3_73	GDM	1.3.1.9	0.000182449	1	0.19
SL_3_74	GDM	1.3.1.9	0.000351425	1	0.19
SL_3_75	Control	1.3.1.9	5.72931e-05	1	-0.19
SL_3_76	Control	1.3.1.9	0.000223747	1	-0.19
SL_3_77	Control	1.3.1.9	6.82287e-05	1	-0.19
SL_3_78	Control	1.3.1.9	0.000387319	1	-0.19
SL_3_79	Control	1.3.1.9	0.000513986	1	-0.19
SL_3_80	Control	1.3.1.9	0.000190114	1	-0.19
SL_3_81	Control	1.3.1.9	0.000262481	1	-0.19
SL_3_82	Control	1.3.1.9	0.00104202	1	-0.19
SL_3_83	Control	1.3.1.9	0.00032317	1	-0.19
SL_3_84	Control	1.3.1.9	0.00104778	1	-0.19
SL_3_85	GDM	1.3.1.9	0.000414613	1	0.19
SL_3_86	Control	1.3.1.9	0.000274923	1	-0.19
SL_3_87	Control	1.3.1.9	0.000328772	1	-0.19
SL_3_89	Control	1.3.1.9	0.000183975	1	-0.19
SL_3_90	Control	1.3.1.9	0.000305187	1	-0.19
SL_3_91	Control	1.3.1.9	0.000186076	1	-0.19
SL_3_92	GDM	1.3.1.9	6.21796e-05	1	0.19
SL_3_94	Control	1.3.1.9	0.000215345	1	-0.19
SL_3_96	GDM	1.3.1.9	0.000795097	1	0.19
SL_3_97	Control	1.3.1.9	0.000242408	1	-0.19
SL_3_98	Control	1.3.1.9	0.000569459	1	-0.19
SL_3_99	GDM	1.3.1.9	0.000135747	1	0.19
SL_4_02	Control	1.3.1.9	0.000413036	1	-0.19
SL_4_03	Control	1.3.1.9	0.000335265	1	-0.19
SL_4_04	Control	1.3.1.9	0.000686133	1	-0.19
SL_4_05	Control	1.3.1.9	0.000885994	1	-0.19
SL_4_06	GDM	1.3.1.9	0.00028584	1	0.19
SL_4_07	Control	1.3.1.9	0.000841418	1	-0.19
SL_4_08	GDM	1.3.1.9	0.000432932	1	0.19
SL_4_09	Control	1.3.1.9	0.000237952	1	-0.19
SL_4_100	GDM	1.3.1.9	0.000639589	1	0.19
SL_4_11	GDM	1.3.1.9	0.000728573	1	0.19
SL_4_12	Control	1.3.1.9	0.000168576	1	-0.19
SL_4_13	GDM	1.3.1.9	0.00102711	1	0.19
SL_4_14	Control	1.3.1.9	0.000458539	1	-0.19
SL_4_16	Control	1.3.1.9	0.000302139	1	-0.19
SL_4_17	Control	1.3.1.9	0.000456896	1	-0.19
SL_4_18	Control	1.3.1.9	0.00030049	1	-0.19
SL_4_19	GDM	1.3.1.9	0.00028621	1	0.19
SL_4_20	GDM	1.3.1.9	0.0001557	1	0.19
SL_4_21	Control	1.3.1.9	0.000395732	1	-0.19
SL_4_23	GDM	1.3.1.9	5.68832e-05	1	0.19
SL_4_24	Control	1.3.1.9	0.000559404	1	-0.19
SL_4_25	Control	1.3.1.9	0.000404972	1	-0.19
SL_4_27	Control	1.3.1.9	0.000450701	1	-0.19
SL_4_28	Control	1.3.1.9	0.000286699	1	-0.19
SL_4_29	Control	1.3.1.9	0.000287919	1	-0.19
SL_4_30	GDM	1.3.1.9	0.000256521	1	0.19
SL_4_31	GDM	1.3.1.9	0.00017067	1	0.19
