number	or	class
241	0.959297273825069	PE
242	0.908378044010908	PE
243	1.16038308002332	PE
244	1.28202598832836	PE
245	1.03000674112327	PE
246	0.960557277065692	PE
247	1.10165129782372	PE(O)
248	1.06107587839674	PE(O)
249	1.09761614253345	PE(O)
250	0.929486114136505	PE(O)
251	1.25464655445216	PE(O)
252	0.933014024154161	PE(O)
253	1.10776069194664	PE(O)
254	1.17814262882362	PE(O)
255	1.16894391799756	PE(O)
256	1.11114920992225	PE(O)
257	1.07175072397171	PE(O)
258	0.926852105626746	PE(O)
259	1.15963205403042	PE(O)
260	1.45750707728372	PE(O)
261	1.41498766111909	PE(O)
262	1.14475668701362	PE(O)
263	1.14602909468206	PE(P)
264	1.11969732584158	PE(P)
265	1.07007779881122	PE(P)
266	1.05288607982686	PE(P)
267	1.07470887183024	PE(P)
268	1.09314497945697	PE(P)
269	1.0286780589324	PE(P)
270	1.67609675649642	PE(P)
271	1.09180092544772	PE(P)
272	0.880882129245274	PE(P)
273	1.22546315468802	PE(P)
274	1.4223446174059	PE(P)
275	0.775259694563089	PG
276	0.946995385087112	PG
277	0.743286656584655	PG
278	1.20853759078207	PI
279	1.27035325711351	PI
280	1.77777186151462	PI
281	1.69960444402043	PI
282	1.11296779882327	PI
283	0.99449841445809	PI
284	1.03035204076901	PI
285	1.12132056428708	PI
286	1.32434778431985	PI
287	1.35515650973375	PI
288	1.09407790541998	PI
289	1.23053904087866	PI
290	1.19922337046967	PI
291	1.17855228366935	PI
292	1.5145654195056	PI
293	1.52136458133625	PI
294	1.90376855360531	PI
295	0.950369798073509	PS
296	0.830701883312933	PS
297	0.883363421654241	PS
298	1.0061145077488	SM
299	0.96314121810958	SM
300	0.812542206228511	SM
301	0.78623359032193	SM
302	0.634846489585259	SM
303	0.664638211651829	SM
304	0.796525328809636	SM
305	0.66310226224067	SM
306	0.660225746032922	SM
307	0.810290019203744	SM
308	0.696405349826704	SM
309	0.707673565705116	SM
310	0.713589985205454	SM
311	0.67951882811249	SM
312	0.821738574005456	SM
313	0.750213633759314	SM
314	1.1656433717352	SM
315	0.999512854693824	SM
316	1.13844834114063	SM
317	1.53369138879775	TG
318	1.55561153590654	TG
319	1.51065976369465	TG
320	1.54360410029895	TG
321	1.30816666939207	TG
322	1.60765051063234	TG
323	1.49677267320517	TG
324	1.56286379292452	TG
325	1.20144934559425	TG
326	1.41950230678748	TG
327	1.45722034097488	TG
328	1.26485812279973	TG
329	1.35874044061148	TG
330	1.2985173258444	TG
331	1.47826406603135	TG
332	1.52229994659304	TG
333	1.58832783383708	TG
334	1.22123582579696	TG
335	1.51840862017331	TG
336	1.26111547507866	TG
337	1.47937927793542	TG
338	1.60447456475661	TG
339	1.6710417460897	TG
340	1.58206697325908	TG
341	1.59785585836143	TG
342	1.5971733458183	TG
343	1.23146927867183	TG
344	1.64605327487861	TG
345	1.44970531827086	TG
346	1.41508521514613	TG
347	1.26708065048827	TG
348	1.36423298915793	TG
349	1.31739490137617	TG
350	1.45148177438001	TG
351	1.81883695481072	TG
352	1.66692445699138	TG
353	1.43090980895249	TG
354	1.36412710695937	TG
355	1.33213404841122	TG
356	1.71593579180042	TG
357	1.65113800965828	TG
358	1.2655679844822	TG
359	1.3479262967583	TG
360	1.7240785571574	TG
