comp1	comp2	comp3	comp4	comp5	comp6
0.798344439388621	8.16623989012831	-2.95480437502379	0.0266355929947535	-0.0951508922763662	-1.86253619534535
-3.34849051590812	0.927532921652025	-1.02412562052837	1.31078844413908	1.27666304641431	0.38298686266598
-2.58030383882168	0.990915985832907	0.94938125080173	-0.698374744851034	-1.00746094917369	2.02953706307323
-1.33837565977421	-2.67654319576024	0.0282762434923495	-0.0275756698543033	3.1645581764158	1.73316537881738
0.917790061059951	3.14758035735905	-0.121755065197946	-1.48378535140741	-0.703938030020606	-0.369467985023074
-2.60066091887474	-1.03507214371284	-0.0605215958195506	-0.930691148966171	6.84867541675529	-0.882595702855266
1.68695474400266	3.29907412312892	0.58904273438022	-0.877721794935341	0.0586483943803099	-0.42566381442027
-2.54862431306688	0.456584139907531	0.668605136225502	-0.111547765658585	0.188940681003134	0.976001883928705
-3.34178728071869	0.354827770703531	-0.0562818098177253	0.594717293318828	-0.781995070077939	1.34970584736647
1.21851027822683	6.03956513655334	-0.182953516251217	-1.71786205740666	2.43114631168684	1.7048608637699
-1.64562212365434	0.616008157618624	0.870102866970607	-0.306850771219854	3.6016924928265	1.54476665593244
-2.06178287522287	0.204651774140716	0.44365541392377	-0.625781245246741	1.25978075821102	1.07703132174316
-4.78469176820007	-1.29372081499518	-0.442448176395776	-1.02790997041083	-5.80051522930084	-6.86615973917239
0.611736801838975	4.5765475147774	-3.22480058841959	4.69909749104108	5.53219586521414	-0.213219249088119
-3.26580013544953	2.77420385943684	0.534911316926752	-0.36884906865783	-0.381844517899287	4.7958977783215
0.960332287189784	6.99384677436691	-3.63987197318772	0.303330247568372	-2.04901825931427	-2.99455197092222
-0.247723953946975	2.35096076870355	-1.1596828692538	-0.769057419966418	4.66322348401241	-2.94861869888737
-0.972122779404258	-0.812995309481083	1.30450996310313	-0.844724109364481	1.25469890080899	1.8575669912021
-2.49079956012389	-1.58641258954563	0.0809876461831821	-0.75408419841426	1.55567784449681	2.23883590396658
-0.392836224204383	-1.44698594806468	0.473878932280985	-0.665106080970527	1.0653444869189	2.2599585876734
0.0436286667906506	3.50106768243707	1.10943432037844	-0.793616723975454	-5.36077849961596	-0.126534537235302
-3.02266181023401	-0.0470843956282923	-0.479137700719876	3.78379763430688	4.41249305023731	2.2996863348535
